Category,Job Title,Description,Typical Daily Schedule,Monthly Salary (PHP),Approx. Daily Rate (PHP),Approx. Hourly Rate (PHP)
Construction,Construction Laborer,"Performs physical labor on construction sites, including digging, carrying materials, operating basic tools, and site cleanup.","7:00 AM - 4:00 PM",18500,841,105
Construction,Carpenter,"Constructs, installs, and repairs structures and fixtures made of wood, plywood, and wallboard, using hand and power tools.","8:00 AM - 5:00 PM",25000,1136,142
Construction,Electrician,"Installs, maintains, and repairs electrical systems and equipment, ensuring that work is in accordance with relevant codes.","8:00 AM - 5:00 PM",32000,1455,182
Construction,Plumber,"Installs and repairs pipes and fixtures for water, gas, drainage, and sewage systems.","7:30 AM - 4:30 PM",28000,1273,159
Construction,"Heavy Equipment Operator","Operates machinery such as bulldozers, excavators, cranes, and graders to move earth and materials for construction projects.","6:00 AM - 5:00 PM (varies)",35000,1591,199
Manufacturing,"Factory Worker/Production Line Worker","Assembles products or components on a production line, operates machinery, and ensures quality control.","6:00 AM - 3:00 PM (shifts)",17000,773,97
Manufacturing,Welder,"Joins metal parts by heating and fusing them, using various welding techniques and equipment.","8:00 AM - 5:00 PM",26500,1205,151
Manufacturing,Machinist,"Sets up and operates machine tools to produce precision metal parts, instruments, and tools.","7:00 AM - 4:00 PM",30000,1364,170
Manufacturing,"Quality Control Inspector","Inspects manufactured products to ensure they meet company standards and specifications.","8:00 AM - 5:00 PM",22000,1000,125
Manufacturing,"Warehouse Worker","Loads, unloads, and moves materials within a warehouse, often using forklifts or other equipment. May also be involved in inventory management.","9:00 AM - 6:00 PM",19500,886,111
Transportation,"Truck Driver","Operates trucks to transport goods and materials over short or long distances, adhering to traffic laws and schedules.","6:00 AM - 4:00 PM (example)",28000,1077,135
Transportation,"Delivery Driver (Motorcycle/Van)","Delivers goods, documents, or food items to various locations using a motorcycle or van.","8:00 AM - 5:00 PM (flexible)",16000,615,77
Transportation,Bus Driver,"Operates buses to transport passengers on designated routes, ensuring safety and punctuality.","5:00 AM - 2:00 PM / 2:00 PM - 11:00 PM (shifts)",24000,923,115
Transportation,"Taxi/Ride-Share Driver","Transports passengers to their desired destinations using a taxi or personal vehicle through a ride-sharing platform.","Flexible (e.g., 10:00 AM - 7:00 PM)",27500,1058,132
Transportation,Logistics Assistant,"Assists with the coordination and movement of goods, possibly involving dispatching drivers, tracking shipments, and maintaining records.","8:00 AM - 5:00 PM",21000,808,101
Maintenance,"Maintenance Technician (General)","Performs routine maintenance and repairs on buildings, equipment, and machinery, including plumbing, electrical, and carpentry tasks.","8:00 AM - 5:00 PM",23500,1068,134
Maintenance,"Automotive Mechanic","Inspects, repairs, and maintains vehicles, diagnosing mechanical and electrical problems.","8:30 AM - 5:30 PM",27000,1227,153
Maintenance,"HVAC Technician","Installs, maintains, and repairs heating, ventilation, and air conditioning systems.","8:00 AM - 5:00 PM (on-call)",31000,1409,176
Maintenance,"Building Cleaner/Janitor","Cleans and maintains the interior and exterior of buildings, ensuring a clean and safe environment.","5:00 AM - 2:00 PM / 8:00 AM - 5:00 PM / 6:00 PM - 3:00 AM (varies)",15500,705,88
Maintenance,"Groundskeeper/Landscaper","Maintains lawns, gardens, and other outdoor areas, performing tasks such as mowing, planting, and trimming.","7:00 AM - 4:00 PM",17500,795,99
Agriculture,"Farm Worker/Laborer","Performs various tasks on a farm, including planting, cultivating, harvesting crops, and caring for livestock.","6:00 AM - 5:00 PM (seasonal)",15000,577,72
Agriculture,"Agricultural Technician","Provides technical support in farming operations, possibly involving soil testing, pest control, and equipment maintenance.","8:00 AM - 5:00 PM",20000,769,96
Agriculture,"Farm Equipment Mechanic","Maintains and repairs farm machinery and equipment to ensure efficient operation.","7:30 AM - 4:30 PM",24500,942,118
Agriculture,"Livestock Handler","Cares for farm animals, including feeding, watering, and ensuring their health and well-being.","6:00 AM - 10:00 AM & 3:00 PM - 7:00 PM (example)",16500,635,79
Agriculture,"Plantation Worker (e.g., Fruit Picker)","Involved in the cultivation and harvesting of specific crops on a large scale, such as fruits, vegetables, or sugarcane.","6:00 AM - 4:00 PM (seasonal)",17000,654,82